,fit_time,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel
0,[121.58306789 122.88562036 121.7690599  120.51829767  60.52877498],[83.58230233 77.21169972 76.78106213 78.68898487 70.55520749],[0.25828571 0.20914286 0.22285714 0.24114286 0.25257143],[0.24686653 0.19094212 0.21008514 0.24180586 0.23758459],[0.34412974 0.31408452 0.35646143 0.35996454 0.37289058],[0.25828571 0.20914286 0.22285714 0.24114286 0.25257143],1,,0.0001,rbf
1,[125.07679033 118.7604661  118.95537186 117.17713547  60.51231432],[76.18565917 80.06865215 79.49843311 80.11292076 70.6738658 ],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],[0.24464602 0.1918204  0.21137528 0.24315745 0.23744972],[0.34131826 0.31416637 0.35762939 0.36114188 0.37265464],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],1,,1e-05,rbf
2,[112.57574821 117.17281485 123.52760124 124.8126905   64.13233495],[77.10859895 76.17741847 76.75669217 83.72096014 70.58367252],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],[0.24327619 0.1872499  0.21780285 0.24461252 0.23659958],[0.33678973 0.30974018 0.36995268 0.3539122  0.37493253],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],1,,1e-06,rbf
3,[132.1127522  138.40776229 133.44077802 134.19601297  64.95596647],[95.92693138 97.64218235 96.67614222 98.46577811 70.86490893],[0.25828571 0.20914286 0.22285714 0.24114286 0.25257143],[0.24686653 0.19094212 0.21008514 0.24180586 0.23758459],[0.34412974 0.31408452 0.35646143 0.35996454 0.37289058],[0.25828571 0.20914286 0.22285714 0.24114286 0.25257143],10,,0.0001,rbf
4,[130.15393186 128.12514639 128.9980247  129.4052856   65.10123563],[88.51238132 87.7309494  87.25841022 87.21431422 71.97918415],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],[0.24464602 0.1918204  0.21137528 0.24315745 0.23744972],[0.34131826 0.31416637 0.35762939 0.36114188 0.37265464],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],10,,1e-05,rbf
5,[135.5681572  134.54140639 134.17449784 133.92922711  60.22310877],[79.60337257 79.55038285 79.54857755 80.10794663 71.23815823],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],[0.24327619 0.1872499  0.21780285 0.24461252 0.23659958],[0.33678973 0.30974018 0.36995268 0.3539122  0.37493253],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],10,,1e-06,rbf
6,[128.60399604 127.84366703 126.37293577 128.52287841  71.79651594],[99.35341001 99.79891109 97.49357057 97.37327099 70.44159174],[0.25828571 0.20914286 0.22285714 0.24114286 0.25257143],[0.24686653 0.19094212 0.21008514 0.24180586 0.23758459],[0.34412974 0.31408452 0.35646143 0.35996454 0.37289058],[0.25828571 0.20914286 0.22285714 0.24114286 0.25257143],50,,0.0001,rbf
7,[128.47529507 124.58997512 124.74998164 125.51470041  69.91991425],[113.74456239 114.27987099 113.55604076 113.81831384  72.24086428],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],[0.24464602 0.1918204  0.21137528 0.24315745 0.23744972],[0.34131826 0.31416637 0.35762939 0.36114188 0.37265464],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],50,,1e-05,rbf
8,[149.89805412 152.68712735 152.72610068 149.46204281  69.46210337],[89.2303617  89.83663464 91.41619849 90.89228988 73.46687198],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],[0.24327619 0.1872499  0.21780285 0.24461252 0.23659958],[0.33678973 0.30974018 0.36995268 0.3539122  0.37493253],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],50,,1e-06,rbf
9,[141.68085504 142.4497304  143.18314147 143.93815923  66.22385573],[88.93681073 91.49814582 89.74488044 88.85800242 72.69188929],[0.26628571 0.23542857 0.23771429 0.26628571 0.272     ],[0.25676788 0.22661379 0.23106664 0.27218601 0.26454747],[0.34178754 0.32355521 0.3623812  0.37666694 0.37920318],[0.26628571 0.23542857 0.23771429 0.26628571 0.272     ],100,,0.0001,rbf
10,[135.96161962 135.44406462 134.38247204 137.45563173  67.02052164],[91.59097767 90.95872736 91.24170303 90.84305239 72.01983976],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],[0.24464602 0.1918204  0.21137528 0.24315745 0.23744972],[0.34131826 0.31416637 0.35762939 0.36114188 0.37265464],[0.25485714 0.21028571 0.22514286 0.24228571 0.25257143],100,,1e-05,rbf
11,[128.161587   129.16091728 128.27716279 131.47275901  61.81836915],[96.29001427 95.04681611 94.78420663 94.03653908 70.22068477],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],[0.24327619 0.1872499  0.21780285 0.24461252 0.23659958],[0.33678973 0.30974018 0.36995268 0.3539122  0.37493253],[0.25257143 0.20571429 0.23085714 0.24228571 0.24914286],100,,1e-06,rbf
12,[94.51474071 91.50073647 90.71878147 90.77878261 50.90984011],[59.91753793 61.26292801 61.31812358 61.940377   33.29477763],[0.34171429 0.33257143 0.31771429 0.32685714 0.34514286],[0.33767731 0.32956615 0.31888504 0.3273716  0.33839873],[0.36011221 0.35766352 0.34274221 0.34768035 0.3585706 ],[0.34171429 0.33257143 0.31771429 0.32685714 0.34514286],1,,,linear
13,[87.85744619 89.07156038 87.30851483 88.49380469 42.50492525],[59.9103415  59.57973123 60.5482657  60.11452579 30.36298132],[0.32457143 0.30285714 0.32228571 0.28914286 0.29828571],[0.32539178 0.30904383 0.32923249 0.2920115  0.29975169],[0.33128548 0.32236468 0.34220181 0.29888466 0.30833767],[0.32457143 0.30285714 0.32228571 0.28914286 0.29828571],10,,,linear
14,[83.08632684 83.34571123 83.2619276  83.39566565 48.29528069],[61.67684102 61.45296049 60.9235003  60.24827504 29.88587332],[0.34057143 0.31542857 0.312      0.28       0.288     ],[0.33937761 0.32254031 0.31919969 0.28239004 0.28990122],[0.34438221 0.33555009 0.33268832 0.28978839 0.29869909],[0.34057143 0.31542857 0.312      0.28       0.288     ],50,,,linear
15,[89.89270926 89.99409175 88.82856011 86.30274224 55.42891264],[58.13378716 58.28876233 58.71390867 59.93070054 29.5362978 ],[0.33714286 0.30742857 0.32114286 0.28685714 0.29142857],[0.33695613 0.3156333  0.32721898 0.28977308 0.28852413],[0.34118311 0.33019005 0.34065529 0.29678667 0.29388642],[0.33714286 0.30742857 0.32114286 0.28685714 0.29142857],100,,,linear
16,[121.7714417  120.35519099 122.4747715  117.35270166  64.33192325],[71.66376042 72.09109259 72.47234631 70.04642391 34.25355124],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],1,2.0,0.0001,poly
17,[120.05635118 119.66574621 119.52499533 120.59753489  58.72619867],[70.67394662 70.76210618 71.35500383 69.93467331 33.64958167],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],[0.21901043 0.15354736 0.17508827 0.20353992 0.15765102],[0.410824   0.38721415 0.38555135 0.40119205 0.37553625],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],1,3.0,0.0001,poly
18,[118.79903579 119.06754851 120.71951056 119.3900795   66.05950546],[77.62908196 78.86919761 78.0508461  78.83057523 37.27500081],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],1,2.0,1e-05,poly
19,[124.5132823  125.81174946 126.15274882 127.04987502  62.56218553],[69.43464327 70.32719445 69.65610027 69.27537799 36.39245033],[0.24571429 0.19314286 0.22742857 0.21942857 0.21714286],[0.21418236 0.15189974 0.17669985 0.20814954 0.1652238 ],[0.40625523 0.38536595 0.38526137 0.40511993 0.37991713],[0.24571429 0.19314286 0.22742857 0.21942857 0.21714286],1,3.0,1e-05,poly
20,[133.23728728 130.44603682 131.71417284 130.80764079  58.29960108],[66.38558197 66.84589601 66.69787192 66.6178906  33.50954866],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],1,2.0,1e-06,poly
21,[114.75335765 116.90444446 116.03081322 115.5616889   60.0599885 ],[66.10788608 69.14785814 69.28613234 69.46494532 33.51958394],[0.30285714 0.33142857 0.31085714 0.296      0.31885714],[0.26108513 0.29002563 0.27046605 0.25244968 0.28316889],[0.33161009 0.34327958 0.33264546 0.34865311 0.37384737],[0.30285714 0.33142857 0.31085714 0.296      0.31885714],1,3.0,1e-06,poly
22,[114.90558577 115.01101184 114.8211832  115.10987973  57.95624065],[66.82304931 66.81186414 66.77789593 66.71167755 33.50036931],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],10,2.0,0.0001,poly
23,[114.54872608 114.93584061 115.31254625 114.95080447  57.7386992 ],[66.69753146 66.88015676 66.78824735 66.79820156 33.47808957],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],[0.21901043 0.15354736 0.17508827 0.20353992 0.15765102],[0.410824   0.38721415 0.38555135 0.40119205 0.37553625],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],10,3.0,0.0001,poly
24,[115.17205358 115.06413651 114.83423305 114.55499482  57.33579063],[67.00385761 66.78852868 66.76601171 66.68875289 33.51667047],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],10,2.0,1e-05,poly
25,[114.56061912 114.90733266 115.37753272 114.83671117  57.95517492],[66.80467701 66.8001945  66.70149493 66.77236986 33.49654651],[0.24914286 0.19657143 0.22514286 0.21142857 0.20914286],[0.21853806 0.15417984 0.17508827 0.20224623 0.15613423],[0.41045294 0.38784636 0.38555135 0.40024598 0.37311138],[0.24914286 0.19657143 0.22514286 0.21142857 0.20914286],10,3.0,1e-05,poly
26,[115.27268553 114.57903743 114.88182998 114.90844274  57.68294477],[66.87655568 66.80022812 66.96837211 66.8091073  33.66345   ],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],10,2.0,1e-06,poly
27,[114.68940187 115.29592514 114.9541471  114.58452249  57.87452149],[66.93881178 66.67931366 66.77040172 66.69635487 33.49016953],[0.288      0.27885714 0.30971429 0.30514286 0.31542857],[0.24895949 0.24212416 0.26186839 0.26448884 0.26285316],[0.28473652 0.28336386 0.28231308 0.2896609  0.2840834 ],[0.288      0.27885714 0.30971429 0.30514286 0.31542857],10,3.0,1e-06,poly
28,[114.9341836  115.30829382 114.57891273 114.8120575   57.75093985],[66.86597586 66.6930809  66.78966355 66.68250942 33.6078074 ],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],50,2.0,0.0001,poly
29,[114.6556108  114.73130202 114.92600775 115.31339645  57.48315096],[67.06843066 66.65150547 66.79228497 66.54427648 33.5191555 ],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],[0.21901043 0.15354736 0.17508827 0.20353992 0.15765102],[0.410824   0.38721415 0.38555135 0.40119205 0.37553625],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],50,3.0,0.0001,poly
30,[114.41702938 115.16794372 114.42786884 115.38079071  58.33789825],[66.90986562 66.48233724 66.52760553 66.60042691 33.54088807],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],50,2.0,1e-05,poly
31,[115.49043727 115.09040594 114.54527807 114.76737618  57.56037259],[66.76094246 66.79367018 66.82358503 66.88274717 33.59901118],[0.248      0.19657143 0.22514286 0.21371429 0.21028571],[0.2172449  0.1540923  0.17508827 0.20354175 0.15762842],[0.40947111 0.38765173 0.38555135 0.4011787  0.37528481],[0.248      0.19657143 0.22514286 0.21371429 0.21028571],50,3.0,1e-05,poly
32,[114.9792285  114.84535146 114.70993662 115.111799    57.9918015 ],[66.90495872 66.99941373 66.7913022  66.65808344 33.50983357],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],50,2.0,1e-06,poly
33,[114.88623166 115.07088757 115.16486907 114.50791979  58.01516795],[74.55759835 73.78280854 73.71697927 75.11281085 33.671983  ],[0.23085714 0.176      0.20228571 0.21714286 0.2       ],[0.17636595 0.10399878 0.13653238 0.16491871 0.12187878],[0.3614742  0.34783464 0.35707522 0.37244173 0.33542648],[0.23085714 0.176      0.20228571 0.21714286 0.2       ],50,3.0,1e-06,poly
34,[115.4584341  115.24976349 115.39635873 114.93420768  57.98147535],[67.2800014  67.00987244 67.08107066 66.90262747 33.65860415],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],100,2.0,0.0001,poly
35,[115.13729787 116.00388503 115.13627315 115.00390911  58.1209476 ],[67.11270475 66.90692019 66.89698839 67.4339869  33.64040971],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],[0.21901043 0.15354736 0.17508827 0.20353992 0.15765102],[0.410824   0.38721415 0.38555135 0.40119205 0.37553625],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],100,3.0,0.0001,poly
36,[115.12436461 115.2415731  115.3889761  115.38920712  57.80187488],[67.06642079 67.10842633 67.19249487 67.02365685 33.66848016],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],100,2.0,1e-05,poly
37,[115.42523432 115.00140405 115.03684282 115.81832385  59.59297514],[67.53727436 67.36859798 67.71216345 67.30958486 33.65421796],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],[0.21901043 0.15354736 0.17508827 0.20353992 0.15762842],[0.410824   0.38721415 0.38555135 0.40119205 0.37528481],[0.25028571 0.19542857 0.22514286 0.21371429 0.21028571],100,3.0,1e-05,poly
38,[115.10585189 115.62243843 115.54745746 114.99747181  59.68301654],[67.54743171 67.63366795 67.66236949 67.32036328 33.65372515],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],[0.25356977 0.17898666 0.21641502 0.22008802 0.2067181 ],[0.41400327 0.3632005  0.44685051 0.3906239  0.40043811],[0.264      0.20571429 0.22971429 0.22285714 0.24457143],100,2.0,1e-06,poly
39,[115.6543622  115.92825317 114.62719822 115.06718707  58.05034995],[69.15653944 69.11588192 68.94699097 68.96545076 33.64517808],[0.21714286 0.17142857 0.18514286 0.19542857 0.19657143],[0.16043261 0.09278561 0.12005339 0.15715671 0.14646513],[0.37383028 0.35340035 0.35967511 0.35653523 0.38835045],[0.21714286 0.17142857 0.18514286 0.19542857 0.19657143],100,3.0,1e-06,poly
40,[115.66014433 115.24106765 115.6228981  115.6530962   60.91123891],[67.91681027 67.82625294 67.45734239 67.63983107 34.63647461],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],1,,0.0001,sigmoid
41,[116.07021189 115.35595179 115.09299397 115.19389439  60.98972845],[69.06995702 69.32498002 69.64192295 69.08867598 35.03956199],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],1,,1e-05,sigmoid
42,[120.07350993 114.90601611 119.23412943 116.87594008  61.35731125],[66.81478763 67.72630906 66.6641891  67.74571466 34.57774687],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],1,,1e-06,sigmoid
43,[115.63660598 115.81355929 116.06093597 115.74864173  63.63140225],[68.69554353 68.82302737 68.77385807 68.73924112 34.53095841],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],10,,0.0001,sigmoid
44,[115.52541256 116.17513418 115.02543855 116.4605751   61.51473355],[69.15064716 69.32290244 69.01343131 69.26892614 34.50304508],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],10,,1e-05,sigmoid
45,[115.6653223  116.04229665 116.35027504 116.62380099  61.88277745],[68.60343671 68.75920963 68.89626241 68.78823686 34.48316646],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],10,,1e-06,sigmoid
46,[116.64012718 117.52380991 116.63858438 116.68581915  64.3250339 ],[71.66162515 71.03759885 70.19616222 70.14343238 34.51655078],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],50,,0.0001,sigmoid
47,[116.13562179 116.41474509 116.04524946 116.79939365  61.6701746 ],[68.95040894 68.8462441  68.82895398 68.82063603 34.58836222],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],50,,1e-05,sigmoid
48,[116.45001531 116.9298079  116.51777101 117.09366107  65.13303137],[68.59565067 68.6482985  68.86167765 68.57708836 34.49615145],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],50,,1e-06,sigmoid
49,[115.84639978 116.07770777 115.9517951  115.35778642  61.50288105],[69.19956207 69.01631379 68.88455606 68.77578878 34.50960326],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],100,,0.0001,sigmoid
50,[115.48299527 116.46883297 116.17285085 116.91343164  61.10542631],[68.43069124 68.70362639 68.7716465  68.59892654 34.50009108],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],100,,1e-05,sigmoid
51,[115.85055327 116.04131699 116.19935298 116.60296345  60.80864573],[69.2642107  68.48554969 68.72154403 68.25531745 34.49150276],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],100,,1e-06,sigmoid
